,log_realized_volatility
2016-09-30,-3.1925515858927214
2016-10-31,-3.9566514163288296
2016-11-30,-3.487974422258749
2016-12-31,-3.7787223692336043
2017-01-31,-4.001828361753411
2017-02-28,-4.204700139152802
2017-03-31,-3.7314192152872128
2017-04-30,-3.926652018374449
2017-05-31,-3.7920847378875453
2017-06-30,-3.856214910874562
2017-07-31,-4.129870024958818
2017-08-31,-3.5924378123925567
2017-09-30,-4.134666486968067
2017-10-31,-4.216826264874244
2017-11-30,-3.974205538921206
2017-12-31,-4.1605958145165705
